Epoch,X,Y,Z
1699060702277,-0.7480469,0.2975464,0.585022
1699060702277,-0.7272339,0.27905273,0.5940552
1699060702277,-0.7271118,0.28961182,0.55493164
1699060702336,-0.7421875,0.28527832,0.52557373
1699060702425,-0.72576904,0.27764893,0.5560913
1699060702425,-0.7249756,0.31188965,0.5633545
1699060702427,-0.7214966,0.3546753,0.5891113
1699060702427,-0.66973877,0.33184814,0.6486206
1699060702456,-0.6239624,0.38964844,0.7225342
1699060702456,-0.60357666,0.36242676,0.74072266
1699060702456,-0.5905762,0.35845947,0.75982666
1699060702456,-0.5635376,0.3789673,0.78863525
1699060702458,-0.5720825,0.31402588,0.71759033
1699060702458,-0.57489014,0.37005615,0.7107544
1699060702458,-0.5772705,0.37719727,0.7313843
1699060702458,-0.5507202,0.32281494,0.6432495
1699060702458,-0.58843994,0.3618164,0.71435547
1699060702459,-0.59228516,0.350708,0.74560547
1699060702461,-0.56140137,0.30749512,0.7514038
1699060702515,-0.5463257,0.29534912,0.75250244
1699060702516,-0.5552368,0.29730225,0.75994873
1699060702516,-0.55511475,0.3007202,0.7772827
1699060702518,-0.55218506,0.29614258,0.7998657
1699060702518,-0.5474243,0.28588867,0.81188965
1699060702518,-0.5475464,0.29406738,0.8261719
1699060702518,-0.53582764,0.29864502,0.8233032
1699060702518,-0.5548096,0.32073975,0.82977295
1699060702518,-0.5697632,0.33520508,0.8553467
1699060702520,-0.5665283,0.34674072,0.83966064
1699060702577,-0.57128906,0.35021973,0.83740234
1699060702666,-0.5776367,0.3187256,0.8682251
1699060702667,-0.5793457,0.25994873,0.90374756
1699060702667,-0.5856323,0.2220459,0.90997314
1699060702667,-0.56988525,0.23822021,0.89715576
1699060702695,-0.5779419,0.19042969,0.8919678
1699060702695,-0.5703125,0.25335693,0.91674805
1699060702695,-0.5408325,0.28546143,0.93115234
1699060702696,-0.54907227,0.25231934,0.97320557
1699060702696,-0.57037354,0.13018799,1.0556641
1699060702697,-0.61431885,-0.049072266,1.1595459
1699060702697,-0.6868286,-0.12921143,1.2894897
1699060702697,-0.7565918,-0.14294434,1.4281616
1699060702700,-0.8422241,-0.14593506,1.5497437
1699060702700,-0.91864014,-0.16351318,1.6630249
1699060702700,-0.9769287,-0.2220459,1.7449341
1699060702702,-1.0509033,-0.30273438,1.7423096
1699060702702,-1.1219482,-0.36328125,1.7305908
1699060702756,-1.1800537,-0.41174316,1.7102051
1699060702756,-1.2052002,-0.3914795,1.6450195
1699060702758,-1.2127686,-0.35095215,1.6450195
1699060702758,-1.1426392,-0.21844482,1.6781006
1699060702758,-1.022583,0.0064086914,1.6251831
1699060702758,-0.88513184,0.22088623,1.6038818
1699060702816,-0.73132324,0.38653564,1.5664673
1699060702816,-0.59313965,0.4977417,1.5008545
1699060702816,-0.4953003,0.5449219,1.451477
1699060702816,-0.39233398,0.61968994,1.3894653
1699060702816,-0.28656006,0.6967163,1.3244019
1699060702818,-0.1352539,0.77697754,1.206604
1699060702907,-0.005126953,0.8512573,1.0595703
1699060702935,0.11407471,0.9182739,0.8922119
1699060702995,0.21466064,0.93322754,0.7215576
1699060702995,0.28112793,0.86828613,0.56463623
1699060702996,0.34362793,0.7984619,0.3866577
1699060703057,0.37799072,0.7723999,0.18328857
1699060703057,0.3977661,0.73999023,-0.026611328
1699060703057,0.40740967,0.68341064,-0.24310303
1699060703058,0.411438,0.65234375,-0.48199463
1699060703147,0.43023682,0.63812256,-0.713501
1699060703147,0.45147705,0.6329346,-0.9613037
1699060703148,0.45483398,0.60791016,-1.2075195
1699060703148,0.44726562,0.58721924,-1.338501
1699060703176,0.43249512,0.5363159,-1.3728638
1699060703176,0.43933105,0.44030762,-1.3936157
1699060703177,0.44085693,0.34973145,-1.4465332
1699060703177,0.4074707,0.27246094,-1.4958496
1699060703339,0.3912964,0.21179199,-1.5128784
1699060703340,0.40148926,0.1831665,-1.4810791
1699060703340,0.43981934,0.15612793,-1.355835
1699060703340,0.4375,0.12664795,-1.140564
1699060703340,0.44543457,0.0736084,-0.9060669
1699060703340,0.44555664,0.05621338,-0.6981201
1699060703340,0.40441895,0.05114746,-0.5097046
1699060703340,0.34906006,-0.0178833,-0.3647461
1699060703340,0.3425293,-0.20581055,-0.14648438
1699060703340,0.23059082,-0.41833496,0.06542969
1699060703340,0.046936035,-0.66937256,0.26983643
1699060703340,-0.14465332,-0.9962158,0.64593506
1699060703341,-0.33764648,-1.218811,1.1529541
1699060703341,-0.45166016,-1.0985718,1.602478
1699060703341,-1.079834,-1.564148,1.9996948
1699060703341,-1.1941528,-1.6584473,1.9976196
1699060703341,-1.3370361,-1.6275635,1.999939
1699060703341,-1.3706055,-1.5622559,1.999939
1699060703341,-1.4180298,-1.4279785,1.9998779
1699060703498,-1.4499512,-1.3386841,1.999939
1699060703498,-1.4022217,-1.3283691,1.999939
1699060703498,-0.9030762,-1.1136475,1.7183228
1699060703498,-0.75024414,-0.90826416,1.4376831
1699060703498,-0.5805664,-0.72229004,1.1254883
1699060703498,-0.20050049,-0.5643921,0.93969727
